               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.8992,               1.776,              1.8819,             0.81591,             0.75774,             0.85833,             0.53244,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,               1.898,              1.7411,              1.9064,             0.81371,             0.78559,             0.86179,             0.54328,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.9043,              1.7543,              1.9069,             0.82345,             0.77245,             0.85342,             0.53406,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.8608,              1.7051,              1.9056,             0.79761,              0.8097,             0.85919,             0.53719,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.8507,              1.6976,              1.8795,             0.82983,             0.75595,             0.84854,             0.53303,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,               1.878,              1.6792,              1.8983,             0.79743,             0.80987,              0.8556,             0.53109,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.8518,              1.6148,              1.8175,             0.81936,             0.79956,             0.87352,             0.55273,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.8555,              1.5931,              1.8644,             0.85269,              0.8126,             0.88104,              0.5617,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.8556,               1.622,              1.8766,             0.84898,             0.80105,             0.87462,             0.55487,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.8387,               1.602,               1.857,             0.80264,             0.85543,             0.88616,             0.55949,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.8295,              1.5652,              1.8844,             0.80395,             0.83257,             0.87938,             0.55911,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.8259,              1.5365,              1.8552,             0.83633,             0.81322,             0.88286,             0.56159,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.8291,              1.5292,              1.8539,             0.83636,             0.83656,             0.88701,             0.56329,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.8313,               1.576,              1.8842,             0.88158,             0.83229,             0.90319,             0.57911,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.8049,              1.5154,              1.8539,             0.84734,             0.84926,             0.89513,             0.57002,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.7997,              1.4694,              1.8649,             0.84036,             0.84872,              0.8963,             0.57405,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.8157,              1.4887,              1.8254,             0.82103,             0.87489,             0.89687,             0.56979,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.7917,              1.4886,              1.8251,             0.85941,             0.83168,             0.89541,              0.5646,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.7798,              1.4295,              1.8086,             0.86247,             0.80731,             0.88338,             0.56072,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.7812,              1.4606,               1.794,             0.86045,             0.84053,             0.90591,             0.58565,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.7995,              1.4627,              1.8519,             0.84866,             0.84614,             0.90111,             0.57007,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.7861,              1.4286,              1.7892,             0.87213,             0.84535,             0.90177,             0.57872,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,               1.803,              1.4603,              1.8755,             0.90242,             0.84773,             0.91235,             0.58405,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.7696,              1.3825,              1.7998,             0.84646,             0.87621,             0.90632,             0.58397,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.7578,              1.3802,              1.8259,             0.86486,             0.85184,              0.9097,             0.57879,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.7565,              1.3785,              1.8059,             0.87346,             0.84289,             0.91278,             0.58454,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.7785,              1.3841,              1.8055,             0.86486,             0.85616,             0.91132,             0.58258,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.7646,              1.3772,              1.8299,             0.87463,             0.83724,             0.90742,             0.57011,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.7631,              1.3501,              1.8006,             0.90799,             0.83366,             0.91519,             0.58578,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.7422,               1.333,              1.8238,             0.89681,             0.83488,             0.90867,             0.58361,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.7345,              1.3428,              1.7998,             0.85606,             0.86483,              0.9037,             0.58507,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.7376,              1.3124,              1.7886,             0.88784,             0.84225,             0.90438,             0.58236,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.7513,              1.3546,              1.8321,             0.86949,             0.84946,             0.91436,              0.5914,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.7501,               1.325,              1.7884,             0.86251,              0.8707,             0.91774,             0.59212,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.7593,              1.3437,               1.777,             0.86643,             0.85619,             0.91841,              0.5914,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.7448,              1.3406,              1.8147,             0.87216,             0.86977,             0.92532,             0.58519,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.7403,              1.2911,              1.7533,             0.88875,             0.84335,             0.92307,             0.58656,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.7163,              1.2858,              1.7724,               0.888,             0.84794,             0.92154,             0.59016,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.7387,              1.2943,              1.8068,              0.8966,              0.8617,             0.92333,              0.5905,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.7161,               1.278,              1.7928,             0.88079,             0.86371,             0.92342,              0.5896,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.7345,               1.296,              1.7624,             0.88463,             0.85762,             0.91838,             0.59119,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.6894,              1.2442,              1.7597,             0.90817,             0.86026,             0.92582,             0.59607,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.6971,              1.2502,              1.7855,             0.88742,             0.86141,             0.92581,             0.59376,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.7049,              1.2533,              1.7665,             0.91757,             0.85243,             0.92666,             0.59735,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.7168,              1.2505,              1.7622,             0.87976,             0.86457,              0.9336,             0.59793,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.6912,              1.2238,              1.7719,             0.88031,              0.8693,             0.92664,             0.59263,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
